COMARCA,ID_MUN,MUNICIPI,CULTIU,CAMPANYA,HA_IRTA_R,HA_IRTA_S,PROD_IRTA(t)_R,PROD_IRTA(t)_S,PROD_IRTA(t/ha)_R,PROD_IRTA(t/ha)_S
Alt Penedès,8205,Sant Cugat Sesgarrigues,BLAT,2023,,4.502697111912,,0.0,,0.0
Alt Penedès,8205,Sant Cugat Sesgarrigues,ORDI,2023,,4.9107935982574,,0.0,,0.0
Alt Penedès,8205,Sant Cugat Sesgarrigues,ORDI,2024,,3.3853,,7.868170888764858,,2.3212653679562627
Alt Penedès,8220,Sant Llorenç d'Hortons,AMETLLER,2025,,1.143643913453452,,0.4461550205300193,,0.3251107533879804
Alt Penedès,8220,Sant Llorenç d'Hortons,AMETLLER,2026,,1.143643913453452,,0.1545456640828691,,0.0652702787538038
Alt Penedès,8220,Sant Llorenç d'Hortons,BLAT,2023,,4.251931512289,,3.941242087806841,,0.9496652724722828
Alt Penedès,8220,Sant Llorenç d'Hortons,BLAT,2024,,16.6362,,40.28771944642755,,2.303308805087854
Alt Penedès,8220,Sant Llorenç d'Hortons,BLAT,2025,,0.84177510710455,,3.214686980261367,,3.8189380431062063
Alt Penedès,8220,Sant Llorenç d'Hortons,BLAT,2026,,6.867669458122516,,23.686538436016075,,3.44899220622821
Alt Penedès,8220,Sant Llorenç d'Hortons,ORDI,2023,,40.24065380015063,,54.0239296781769,,1.202900767613437
Alt Penedès,8220,Sant Llorenç d'Hortons,ORDI,2024,,20.6981,,71.58340438026943,,3.3492516957256435
Alt Penedès,8220,Sant Llorenç d'Hortons,ORDI,2025,,12.317436183997318,,41.687335630411326,,3.328588787045723
Alt Penedès,8220,Sant Llorenç d'Hortons,ORDI,2026,,16.260787600059867,,70.13504736878546,,4.313139627291316
Alt Penedès,8227,Sant Martí Sarroca,AMETLLER,2025,0.0350590012057129,3.47374147904094,0.0355027828676181,1.3978237074283633,1.0172538842008243,0.4824783118756298
Alt Penedès,8227,Sant Martí Sarroca,AMETLLER,2026,0.0350590012057129,3.47374147904094,0.0203201524661137,0.3018015135722495,0.5893199961918327,0.1222512961686958
Alt Penedès,8227,Sant Martí Sarroca,BLAT,2023,1.07491273574,0.563237501937,0.46660078004045,0.0,0.434082474350096,0.0
Alt Penedès,8227,Sant Martí Sarroca,BLAT,2026,,1.382714376508647,,6.698722372318822,,4.844617576938117
Alt Penedès,8227,Sant Martí Sarroca,ORDI,2023,,13.293757518694,,2.2942887951266817,,0.167276252671947
Alt Penedès,8227,Sant Martí Sarroca,ORDI,2024,,9.3003,,20.95201868081465,,2.186015765123087
Alt Penedès,8227,Sant Martí Sarroca,ORDI,2025,,13.41159412517032,,41.3432270945829,,3.0845172833624943
Alt Penedès,8227,Sant Martí Sarroca,ORDI,2026,,13.694413354552864,,52.25393805324422,,3.815712049897471
Alt Penedès,8232,Sant Pere de Riudebitlles,AMETLLER,2025,,0.8081300853697779,,0.3271030730247018,,0.4512238339221316
Alt Penedès,8232,Sant Pere de Riudebitlles,AMETLLER,2026,,0.8081300853697779,,0.0679672664762315,,0.1245573744329993
Alt Penedès,8232,Sant Pere de Riudebitlles,BLAT,2026,,0.172935484979211,,0.7349017840624952,,4.249571938060252
Alt Penedès,8232,Sant Pere de Riudebitlles,ORDI,2023,,7.721656199564,,5.971588124887068,,0.7892027923228635
Alt Penedès,8232,Sant Pere de Riudebitlles,ORDI,2024,,4.9332,,13.740348815940015,,2.6995380524006563
Alt Penedès,8236,Sant Quintí de Mediona,AMETLLER,2025,,9.22227290955301,,4.101040176077521,,0.3989497663503552
Alt Penedès,8236,Sant Quintí de Mediona,AMETLLER,2026,,9.22227290955301,,1.469230653613934,,0.0834824867837297
Alt Penedès,8236,Sant Quintí de Mediona,ORDI,2023,,20.2245092100258,,14.0906526092817,,0.616794706139383
Alt Penedès,8236,Sant Quintí de Mediona,ORDI,2024,,10.1661,,40.97518920790645,,3.474008348561058
Alt Penedès,8236,Sant Quintí de Mediona,ORDI,2025,,6.539851099618911,,29.775655131000065,,4.615148647645482
Alt Penedès,8236,Sant Quintí de Mediona,ORDI,2026,,1.69993560388006,,4.873791482748569,,2.867044770180861
Alt Penedès,8240,Sant Sadurní d'Anoia,AMETLLER,2025,,0.198870989751124,,0.0440822368985235,,0.2353074778793414
