COMARCA,CULTIU,CAMPANYA,HA_IRTA_R,HA_IRTA_S,HA_DARPA_R,HA_DARPA_S,PROD_IRTA(t)_R,PROD_IRTA(t)_S,PROD_IRTA(t/ha)_R,PROD_IRTA(t/ha)_S,PROD_DARPA(t)_R,PROD_DARPA(t)_S,PROD_DARPA(t/ha)_R,PROD_DARPA(t/ha)_S
Gironès,BLAT,2022,653.3293,1881.724,655.0,1884.0,3994.6188188451033,9355.747417353916,6.09121034453279,4.881758985228455,2947.5,6970.8,4.5,3.7
Gironès,BLAT,2023,689.5085147010348,2134.0103965595927,689.0,1091.0,4236.311133835664,11490.45499928011,6.014810269685488,5.32031841804745,2411.5,2945.7,3.5,2.7
Gironès,BLAT,2024,747.5217,1611.1791,523.0,1131.0,5388.626977560993,9456.726760282449,6.994241616899007,5.683906188367645,2353.5,4184.7,4.5,3.7
Gironès,BLAT,2025,696.3793249887851,1851.15086318901,722.69,1872.8,5667.601713719895,12398.65545137541,7.861488287878216,6.686641629004123,3974.8,9323.44,5.500006918595802,4.978342588637335
Gironès,BLAT,2026,622.0379581319312,1631.1256363529974,,,4818.684186042084,10645.44360404853,7.746607940957945,6.5264400036348365,,,,
Gironès,BLAT DE MORO,2022,961.1558,320.0136,120.0,54.0,9867.24922566332,3242.6665448320528,10.176105532871883,9.941793424987022,1404.0,364.5,11.7,6.75
Gironès,BLAT DE MORO,2023,561.2246231431376,173.93063196145815,106.0,28.0,4930.816381361887,1623.3721162286604,9.137504285589738,9.261518344942164,1378.0,98.0,13.0,3.5
Gironès,BLAT DE MORO,2024,383.1167,63.0903,38.0,6.0,3721.701089814306,592.4633449222766,9.438930643655585,9.223795051393074,494.0,45.0,13.0,7.5
Gironès,BLAT DE MORO,2025,772.212548210308,185.8816297116253,151.99,36.31,7316.710349984647,1780.163705621466,9.5477116491404,9.609487843178746,1975.87,272.33,12.999999999999998,7.500137703112089
Gironès,BLAT DE MORO,2026,840.8158035711903,183.3241773032721,,,7667.45992405552,1742.260302559282,9.119072086287602,9.503712648207175,,,,
Gironès,ORDI,2022,553.6381,2014.1326,434.0,1612.0,3588.6772884699085,7850.183796341523,6.541303160240174,3.860010380745377,1679.58,4030.0,3.87,2.5
Gironès,ORDI,2023,553.1215969230514,1983.963228558014,446.0,653.0,3167.51237995646,6709.244486784586,5.86688962040048,3.4265608986535887,1561.0,1632.5,3.5,2.5
Gironès,ORDI,2024,773.1007,2507.0938,464.0,1520.0,5910.289958027969,12996.1148791886,7.574337490246092,5.105917719281423,1763.1999999999998,4256.0,3.8,2.8
Gironès,ORDI,2025,612.0370414223182,2323.2829628595687,486.48,1912.55,4925.814294064156,12945.628354035542,8.140936980496498,5.57509186117866,2189.16,7642.3,4.499999999999999,3.995869389035581
Gironès,ORDI,2026,689.4997081968778,2196.393391667901,,,5628.884456743234,12504.125610892315,8.163722754087052,5.693026421554158,,,,
Lluçanès,BLAT,2022,,1240.8106,,,,5736.768538075224,,4.464880668324991,,,,
Lluçanès,BLAT,2023,0.0867558632394,1276.73317743294,,698.0,0.521074693482022,7456.906206824575,6.006218761769829,5.8096340454857165,,1409.96,,2.02
Lluçanès,BLAT,2024,4.6693,1278.8636,,1149.0,29.17051069006954,7463.240885737464,6.730651758956833,5.79379420315793,,2229.06,,1.94
Lluçanès,BLAT,2025,0.086755294605534,1228.0672840244256,,1097.9299999999998,0.5906095003353415,6931.666553088139,6.807763180573275,5.633205595766023,,5269.139999999999,,4.799158416292478
Lluçanès,BLAT,2026,,1173.2357577501534,,,,5431.272427105493,,4.6293103421265736,,,,
Lluçanès,BLAT DE MORO,2022,,3.347,,,,24.65480038683541,,7.366238538044642,,,,
Lluçanès,BLAT DE MORO,2024,,5.8231,,,,41.01903958213806,,7.1994470347895065,,,,
Lluçanès,BLAT DE MORO,2026,,19.55176481270438,,,,169.9577337989177,,8.692705514158101,,,,
Lluçanès,ORDI,2022,5.604,1320.1312,,,33.75375295875901,5198.097735107039,6.193543377898461,3.856807837242672,,,,
Lluçanès,ORDI,2023,0.0183347370658,1468.1720728356922,,788.0,0.119736001801227,6662.687753009383,6.530554617255548,4.438580667635447,,1158.36,,1.47
Lluçanès,ORDI,2024,0.0868,1456.0577,,1305.0,0.665648005412476,7415.861393138047,7.66875582272438,5.105036652499606,,1898.775,,1.455
Lluçanès,ORDI,2025,4.613709415787556,1644.3828057261644,,1499.5,32.08325657312786,8292.620261898272,6.953896243084325,5.0282211938819215,,6297.9,,4.2
Lluçanès,ORDI,2026,4.613731747658103,1513.215210902321,,,23.97486337952313,6800.746896606351,5.196414679221999,4.494236409737851,,,,
Maresme,BLAT,2022,51.8543,42.8312,52.0,44.0,207.27153484405693,129.7868627428987,3.851559520375039,3.231996384515151,295.88,153.12,5.69,3.48
Maresme,BLAT,2023,74.4695068872527,26.39835120198577,73.0,21.0,314.4101283909193,49.4682022237602,4.026452930940132,1.770432383650317,481.8,25.83,6.6000000000000005,1.23
Maresme,BLAT,2024,100.3508,65.5472,91.0,60.0,581.9741796940682,268.2207098426414,5.400285253743086,4.034272382141594,582.4,222.0,6.4,3.7
Maresme,BLAT,2025,76.91256736373093,38.1169624980385,,123.54,480.6168265430109,186.85768334755528,6.093890330396452,4.660481316880129,,518.87,,4.200016189088554
Maresme,BLAT,2026,85.15212736421303,38.439224327765785,,,464.9549274357248,146.89965714452978,5.460285512856511,3.821608258583403,,,,
Maresme,BLAT DE MORO,2022,126.4261,19.9131,9.0,2.0,1219.3379240348393,197.13097715468027,9.645460353677326,9.447088264641634,71.1,7.74,7.899999999999999,3.87
Maresme,BLAT DE MORO,2023,122.4029290443606,23.2624469665693,,,997.8603744439004,192.1819326924175,8.159487115336766,8.289950172066009,,,,
Maresme,BLAT DE MORO,2024,79.074,11.0557,,,711.1688836136269,101.98742446025209,8.617584834101518,8.608544601029957,,,,
Maresme,BLAT DE MORO,2025,102.56562518559714,13.912170291399113,,,898.8723104325935,126.42119351241551,8.568257543413614,8.771401363301944,,,,
Maresme,BLAT DE MORO,2026,97.41054179484178,16.629865884560136,,,856.0293980296716,136.6897705945668,8.787851727922545,8.219535355451983,,,,
Maresme,ORDI,2022,132.3312,74.7332,134.0,75.0,580.7015772545225,129.12859814350762,4.164653360889051,2.149368448922778,741.02,231.0,5.53,3.08
Maresme,ORDI,2023,97.5429321313948,78.16161699102285,80.0,48.0,399.5142616458504,117.51763034543252,4.295439587741834,1.8369398498027136,504.0,52.8,6.3,1.1
Maresme,ORDI,2024,118.2123,44.2624,135.0,45.0,985.0841457708544,242.21670697954292,8.154551665127519,5.408244580877264,796.5,148.5,5.9,3.3
Maresme,ORDI,2025,109.0842184935387,63.31163217652405,,157.13,844.5596035985982,349.4152568187856,7.728668860008834,5.345377391228907,,581.38,,3.6999936358429326
Maresme,ORDI,2026,107.76996351978212,59.634113144423225,,,799.9941608347823,285.4392136308689,7.423164439393509,4.786508905390876,,,,
Moianès,BLAT,2022,8.7875,822.3872,8.0,820.0,12.773303424997271,2635.4357945819443,1.773646341296846,2.976858518957209,34.4,2181.2,4.3,2.66
